date,inflation,birate
2009-01-01,9.17,8.75
2009-02-01,8.6,8.25
2009-03-01,7.92,7.75
2009-04-01,7.31,7.5
2009-05-01,6.04,7.25
2009-06-01,3.65,7.0
2009-07-01,2.71,6.75
2009-08-01,2.75,6.5
2009-09-01,2.83,6.5
2009-10-01,2.57,6.5
2009-11-01,2.41,6.5
2009-12-01,2.78,6.5
2010-01-01,3.72,6.5
2010-02-01,3.81,6.5
2010-03-01,3.43,6.5
2010-04-01,3.91,6.5
2010-05-01,4.16,6.5
2010-06-01,5.05,6.5
2010-07-01,6.22,6.5
2010-08-01,6.44,6.5
2010-09-01,5.8,6.5
2010-10-01,5.67,6.5
2010-11-01,6.33,6.5
2010-12-01,6.96,6.5
2011-01-01,7.02,6.5
2011-02-01,6.84,6.75
2011-03-01,6.65,6.75
2011-04-01,6.16,6.75
2011-05-01,5.98,6.75
2011-06-01,5.54,6.75
2011-07-01,4.61,6.75
2011-08-01,4.79,6.75
2011-09-01,4.61,6.75
2011-10-01,4.42,6.5
2011-11-01,4.15,6.0
2011-12-01,3.79,6.0
2012-01-01,3.65,6.0
2012-02-01,3.56,5.75
2012-03-01,3.97,5.75
2012-04-01,4.5,5.75
2012-05-01,4.45,5.75
2012-06-01,4.53,5.75
2012-07-01,4.56,5.75
2012-08-01,4.58,5.75
2012-09-01,4.31,5.75
2012-10-01,4.61,5.75
2012-11-01,4.32,5.75
2012-12-01,4.3,5.75
2013-01-01,4.57,5.75
2013-02-01,5.31,5.75
2013-03-01,5.9,5.75
2013-04-01,5.57,5.75
2013-05-01,5.47,5.75
2013-06-01,5.9,6.0
2013-07-01,8.61,6.5
2013-08-01,8.79,7.0
2013-09-01,8.4,7.25
2013-10-01,8.32,7.25
2013-11-01,8.37,7.5
2013-12-01,8.38,7.5
2014-01-01,8.22,7.5
2014-02-01,7.75,7.5
2014-03-01,7.32,7.5
2014-04-01,7.25,7.5
2014-05-01,7.32,7.5
2014-06-01,6.7,7.5
2014-07-01,4.53,7.5
2014-08-01,3.99,7.5
2014-09-01,4.53,7.5
2014-10-01,4.83,7.5
2014-11-01,6.23,7.75
2014-12-01,8.36,7.75
2015-01-01,6.96,7.75
2015-02-01,6.29,7.5
2015-03-01,6.38,7.5
2015-04-01,6.79,7.5
2015-05-01,7.15,7.5
2015-06-01,7.26,7.5
2015-07-01,7.26,7.5
2015-08-01,7.18,7.5
2015-09-01,6.83,7.5
2015-10-01,6.25,7.5
2015-11-01,4.89,7.5
2015-12-01,3.35,7.5
2016-01-01,4.14,7.25
2016-02-01,4.42,7.0
2016-03-01,4.45,6.75
2016-04-01,3.6,6.75
2016-05-01,3.33,6.75
2016-06-01,3.45,6.5
2016-07-01,3.21,6.5
2016-08-01,2.79,5.25
2016-09-01,3.07,5.0
2016-10-01,3.31,4.75
2016-11-01,3.58,4.75
2016-12-01,3.02,4.75
2017-01-01,3.49,4.75
2017-02-01,3.83,4.75
2017-03-01,3.61,4.75
2017-04-01,4.17,4.75
2017-05-01,4.33,4.75
2017-06-01,4.37,4.75
2017-07-01,3.88,4.75
2017-08-01,3.82,4.5
2017-09-01,3.72,4.25
2017-10-01,3.58,4.25
2017-11-01,3.3,4.25
2017-12-01,3.61,4.25
2018-01-01,3.25,4.25
2018-02-01,3.18,4.25
2018-03-01,3.4,4.25
2018-04-01,3.41,4.25
2018-05-01,3.23,4.75
2018-06-01,3.12,5.25
2018-07-01,3.18,5.25
2018-08-01,3.2,5.5
2018-09-01,2.88,5.75
2018-10-01,3.16,5.75
2018-11-01,3.23,6.0
2018-12-01,3.13,6.0
2019-01-01,2.82,6.0
2019-02-01,2.57,6.0
2019-03-01,2.48,6.0
2019-04-01,2.83,6.0
2019-05-01,3.32,6.0
2019-06-01,3.28,6.0
2019-07-01,3.32,5.75
2019-08-01,3.49,5.5
2019-09-01,3.39,5.25
2019-10-01,3.13,5.0
2019-11-01,3.0,5.0
2019-12-01,2.72,5.0
2020-01-01,2.68,5.0
2020-02-01,2.98,4.75
2020-03-01,2.96,4.5
2020-04-01,2.67,4.5
2020-05-01,2.19,4.5
2020-06-01,1.96,4.25
2020-07-01,1.54,4.0
2020-08-01,1.32,4.0
2020-09-01,1.42,4.0
2020-10-01,1.44,4.0
2020-11-01,1.59,3.75
2020-12-01,1.68,3.75
2021-01-01,1.55,3.75
2021-02-01,1.38,3.5
2021-03-01,1.37,3.5
2021-04-01,1.42,3.5
2021-05-01,1.68,3.5
2021-06-01,1.33,3.5
2021-07-01,1.52,3.5
2021-08-01,1.59,3.5
2021-09-01,1.6,3.5
2021-10-01,1.66,3.5
2021-11-01,1.75,3.5
2021-12-01,1.87,3.5
2022-01-01,2.18,3.5
2022-02-01,2.06,3.5
2022-03-01,2.64,3.5
2022-04-01,3.47,3.5
2022-05-01,3.55,3.5
2022-06-01,4.35,3.5
2022-07-01,4.94,3.5
2022-08-01,4.69,3.75
2022-09-01,5.95,4.25
2022-10-01,5.71,4.75
2022-11-01,5.42,5.25
2022-12-01,5.51,5.5
2023-01-01,5.28,5.75
2023-02-01,5.47,5.75
2023-03-01,4.97,5.75
2023-04-01,4.33,5.75
2023-05-01,4.0,5.75
2023-06-01,3.52,5.75
2023-07-01,3.08,5.75
2023-08-01,3.27,5.75
2023-09-01,2.28,5.75
2023-10-01,2.56,6.0
